Concelho,Nome_Entidade,Frequência [MHz],PAR [W],Raio [Km],Morada_Estação,Local_Estação,PS,PI,AF,Cobertura,Microcobertura,Desc_Operador,Latitude PlaGE,Longitude PlaGE,Latitude Corrigida,Longitude Corrigida,Coord Corrig.,Distrito,Concelho,Freguesia
Abrantes,"Média On Comunicação Social, Lda.",     96.700000,2000.000,47.0828907919883,AV. DEFENSORES DE CHAVES,ABRANTES,ANTLIVRE,807F,N,Local,Não,,39.463333333,-8.203333333,39.463333333,-8.203333333,Não,Santarém,Abrantes,Abrantes (São Vicente e São João) e Alferrarede
Águeda,"Sons de Botaréu - Actividade de Rádio, Unipessoal, Lda.",    100.000000,1000.000,39.5918340867651,PRÉSTIMO,Cabeço Cão,BOTAREU,84A0,S,Local,Não,,40.623333333,-8.314444444,40.624444444,-8.314722222,Sim,Aveiro,Águeda,Préstimo e Macieira de Alcoba
Águeda,"Sons de Botaréu - Actividade de Rádio, Unipessoal, Lda.",    101.800000,50.000,18.721822436302,"PRAÇA DO MUNICÍPIO, BL. 6 - 8 - 4º",ÁGUEDA,BOTAREU,84A0,S,Local,Sim,,40.576944444,-8.445,40.575277778,-8.445833333,Sim,Aveiro,Águeda,Águeda e Borralha
Águeda,"Rádio Soberania, Empresa de Radiodifusão, Lda.",     99.300000,2000.000,47.0828907919883,PRÉSTIMO,Cabeço Cão,SOBRANIA,80DA,N,Local,Não,,40.624444444,-8.314722222,40.624444444,-8.314722222,Não,Aveiro,Águeda,Préstimo e Macieira de Alcoba
Albufeira,"R.T.A. - Sociedade de Radiodifusão e Telecomunicações de Albufeira, Unipessoal, Lda.",    101.200000,50.000,18.721822436302,CERRO DE ÁGUIA,ALBUFEIRA,KISS FM,8444.000,S,Local,Sim,,37.093611111,-8.269444444,37.092222222,-8.270555556,Sim,Faro,Albufeira,Albufeira e Olhos de Água
Albufeira,"S.R.A. - Sociedade de Radiodifusão de Albufeira, Lda.",     94.000000,1000.000,39.5918340867651,PATIO-CERRO DA AGUIA,ALBUFEIRA,SOLAR FM,80D2,N,Local,Não,,37.091666667,-8.270833333,37.092222222,-8.270555556,Sim,Faro,Albufeira,Albufeira e Olhos de Água
Alcácer do Sal,"DialogoHabil, Unipessoal, Lda.",     93.900000,2000.000,47.0828907919883,SANTA SUSANA,Barrancão,TDS,80CA,N,Local,Não,,38.543333333,-8.369166667,38.543333333,-8.369166667,Não,Setúbal,Alcácer do Sal,Santa Maria do Castelo e Santiago e Santa Susana
Alcácer do Sal,"DialogoHabil, Unipessoal, Lda.",    104.700000,50.000,18.721822436302,DEPÓSITO DA ÁGUA - BAIRRO DA QUINTINHA,ALCÁCER DO SAL,TDS,80CA,N,Local,Sim,,38.358333333,-8.515555556,38.358333333,-8.515555556,Não,Setúbal,Alcácer do Sal,Santa Maria do Castelo e Santiago e Santa Susana
Alcanena,"Rádio Voz de Alcanena, Lda.",     99.300000,2000.000,47.0828907919883,,SERRA DE AIRE,CIDAD RI,8016.000,N,Local,Não,,39.5325,-8.642222222,39.5325,-8.642222222,Não,Santarém,Alcanena,Minde
Alcanena,"Cincup - Cooperativa de Informação e Cultura Porto Mós, C.R.L.",     98.500000,50.000,18.721822436302,SERRA SANTO ANTÓNIO,MIRA DE AIRE,DOM FUAS,842B,S,Local,Sim,,39.533333333,-8.733611111,39.533333333,-8.733611111,Não,Santarém,Alcanena,Serra de Santo António
Alcobaça,"BENEDITA FM - Produções Radiofónicas, Lda.",     88.100000,1000.000,39.5918340867651,SERRA DOS CANDEEIROS - CASAL DOS VENTOS,TURQUEL,BENEDITA,80ED,N,Local,Não,,39.471111111,-8.905277778,39.471111111,-8.905277778,Não,Leiria,Alcobaça,Turquel
Alcobaça,"Rádio Cister - Cooperativa Regional de Serviços Radiofónicos, C.R.L.",    102.500000,50.119,18.7329519924421,ESTRADA DO FACHO - DEPÓSITO DE ÁGUA S. M. ALCOBAÇA,SÃO MARTINHO DO PORTO,CFM,841A,S,Local,Sim,,39.500277778,-9.136388889,39.500277778,-9.136388889,Sim,Leiria,Alcobaça,São Martinho do Porto
Alcoutim,"Rádio e Televisão de Portugal, S.A.",     88.900000,299.999,29.3012111881995,Sitio Cerro Maria Castanha,ALCOUTIM,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,37.460277778,-7.4725,37.460277778,-7.4725,Sim,Faro,Alcoutim,Alcoutim e Pereiro
Alcoutim,"Rádio e Televisão de Portugal, S.A.",     91.500000,299.999,29.3012111881995,Sitio Cerro Maria Castanha,ALCOUTIM,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,37.460277778,-7.4725,37.460277778,-7.4725,Sim,Faro,Alcoutim,Alcoutim e Pereiro
Alcoutim,"Rádio e Televisão de Portugal, S.A.",    101.900000,299.999,29.3012111881995,Sitio Cerro Maria Castanha,ALCOUTIM,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,37.460277778,-7.4725,37.460277778,-7.4725,Sim,Faro,Alcoutim,Alcoutim e Pereiro
Alcoutim,"Rádio Clube de Alcoutim, Lda.",     94.400000,500.000,33.2926313568806,ROMEIRA - BALURCOS,ALCOUTIM,RCA-SUL,80DA,N,Local,Não,,37.4325,-7.538333333,37.4325,-7.538333333,Sim,Faro,Alcoutim,Alcoutim e Pereiro
Alenquer,"Rádio e Televisão de Portugal, S.A.",     98.300000,40000.001,99.568192068619,,SERRA DE MONTEJUNTO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.170833333,-9.061666667,39.170833333,-9.061666667,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio e Televisão de Portugal, S.A.",     88.700000,40000.001,99.568192068619,,SERRA DE MONTEJUNTO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,39.170833333,-9.061666667,39.170833333,-9.061666667,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio e Televisão de Portugal, S.A.",    105.200000,40000.001,99.568192068619,,SERRA DE MONTEJUNTO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,39.170833333,-9.061666667,39.170833333,-9.061666667,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Presépio de Portugal - Comunicação Social, Unipessoal, Lda.",     93.500000,500.000,33.2926313568806,SÃO JOÃO,SERRA DE MONTEJUNTO,ALENQUER,8436.000,S,Local,Não,,39.171666667,-9.060277778,39.171666667,-9.060277778,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Presépio de Portugal - Comunicação Social, Unipessoal, Lda.",    100.600000,50.000,18.721822436302,CASAL DOS MELOS,SANTO ESTEVÃO,ALENQUER,8436.000,S,Local,Sim,,39.049444444,-9.019166667,39.049444444,-9.019166667,Não,Lisboa,Alenquer,Alenquer (Santo Estêvão e Triana)
Alenquer,"Narrativas & Melodias, Lda.",     94.200000,500.000,33.2926313568806,,SERRA DE MONTEJUNTO,+OESTE,80DD,N,Local,Não,,39.173611111,-9.060833333,39.173611111,-9.060833333,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio Comercial, S.A.",     99.800000,10000.000,70.4053433621716,,SERRA DE MONTEJUNTO,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,39.173611111,-9.055833333,39.173611111,-9.055833333,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio Regional de Lisboa - Emissões de Radiodifusão, S.A.",     96.400000,10000.000,70.4053433621716,,MONTEJUNTO,M80,8332.000,S,Regional,Não,Cobertura Regional Sul,39.173611111,-9.055833333,39.173611111,-9.055833333,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio Renascença, Lda.",     90.200000,10000.000,70.4053433621716,,SERRA DE MONTEJUNTO,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.173888889,-9.060833333,39.173888889,-9.060833333,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alenquer,"Rádio Renascença, Lda.",    106.800000,10000.000,70.4053433621716,,SERRA DE MONTEJUNTO,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,39.170833333,-9.061666667,39.170833333,-9.061666667,Não,Lisboa,Alenquer,Abrigada e Cabanas de Torres
Alfândega da Fé,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    103.200000,10000.000,70.4053433621716,,SERRA DE BORNES,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.433611111,-7.006666667,41.434722222,-7.006388889,Sim,Bragança,Alfândega da Fé,Sambade
Alfândega da Fé,"Rádio Comercial, S.A.",     91.900000,10000.000,70.4053433621716,,SERRA DE BORNES,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,41.432777778,-7.006666667,41.434166667,-7.006666667,Sim,Bragança,Alfândega da Fé,Sambade
Alfândega da Fé,"Rádio Renascença, Lda.",     89.600000,10000.000,70.4053433621716,,SERRA DE BORNES,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.433611111,-7.006666667,41.433611111,-7.006666667,Sim,Bragança,Alfândega da Fé,Sambade
Alfândega da Fé,"Rádio Renascença, Lda.",    101.100000,10000.000,70.4053433621716,,SERRA DE BORNES,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.433611111,-7.006666667,41.433611111,-7.006666667,Sim,Bragança,Alfândega da Fé,Sambade
Alijó,"RVE - Sociedade Radiofónica, Lda.",     90.100000,1000.000,39.5918340867651,VILA  CHÃ - ALIJÓ,CHÃ,SALSIANA,84FE,S,Local,Não,,41.3125,-7.464166667,41.3125,-7.464166667,Sim,Vila Real,Alijó,Vila Chã
Aljustrel,"TLA/Telefonia Local de Aljustrel - Cooperativa de Informação e Cultura, CRL",     92.600000,500.000,33.2926313568806,JUNTO AO MOINHO DOS CURRAIS VELHOS,ALJUSTREL,ALJUSTRL,80A1,N,Local,Não,,37.878888889,-8.1725,37.877222222,-8.170555556,Sim,Beja,Aljustrel,Aljustrel e Rio de Moinhos
Almada,"Rádio e Televisão de Portugal, S.A.",     99.400000,1000.000,39.5918340867651,MONTE DE CAPARICA,BANÁTICA,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,38.675277778,-9.186944444,38.675277778,-9.186944444,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"Rádio e Televisão de Portugal, S.A.",     88.900000,299.999,29.3012111881995,MONTE DE CAPARICA,BANÁTICA,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,38.675277778,-9.186944444,38.675277778,-9.186944444,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"Rádio e Televisão de Portugal, S.A.",    100.000000,299.916,29.2991843040347,MONTE DE CAPARICA,BANÁTICA,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,38.675277778,-9.186944444,38.675277778,-9.186944444,Sim,Setúbal,Almada,Caparica e Trafaria
Almada,"LUSOCANAL - Sociedade de Radiodifusão, Lda.",     97.800000,2000.000,47.0828907919883,ALMADA,MONTE DA CAPARICA,RADAR,8013.000,N,Local,Não,,38.676111111,-9.182777778,38.676111111,-9.182777778,Não,Setúbal,Almada,"Almada, Cova da Piedade, Pragal e Cacilhas"
Almada,"R. J. TV - Rádio Jornais e Televisão Meios Comunicação e Audiovisuais, Lda.",    105.400000,400.000,31.4862267474058,CAPARICA,COSTAS DE CÃO,105.4 FM,801C,N,Local,Não,,38.6675,-9.216666667,38.6675,-9.216666667,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"MARGINÁUDIO - Actividades Radiofónicas, S.A.",     98.100000,2999.991,52.1057448873363,QUINTA DO RAPOSO DE CIMA,MONTE DE CAPARICA,MARGINAL,800F,N,Local,Não,,38.673055556,-9.194444444,38.673055556,-9.194444444,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"RÁDIO SEM FRONTEIRAS - Sociedade de Radiodifusão, S.A.",     95.000000,1499.996,43.8155377411907,QUINTA DO MIRATEJO,MONTE DE CAPARICA,POSITIVA,80FC,N,Local,Não,,38.675833333,-9.201388889,38.675833333,-9.201388889,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"Rede A - Emissora Regional do Sul, Lda.",    100.800000,2000.000,47.0828907919883,RUA RAPOSO DE CIMA,MONTE DE CAPARICA,MEO SW,8406.000,S,Local,Não,,38.673055556,-9.194444444,38.673055556,-9.194444444,Não,Setúbal,Almada,Caparica e Trafaria
Almada,"Rádio Comercial da Linha, Lda.",    102.600000,1499.996,43.8155377411907,ALMADA,MONTE DA CAPARICA,OXIGENIO,803E,N,Local,Não,,38.676111111,-9.182777778,38.676111111,-9.182777778,Não,Setúbal,Almada,"Almada, Cova da Piedade, Pragal e Cacilhas"
Almeida,"RSF - Radiodifusão, Lda.",    106.900000,500.000,33.2926313568806,ALTO DOS ATAQUES,VILAR FORMOSO,R.FRONT,80D1,N,Local,Não,,40.602222222,-6.830555556,40.601388889,-6.830555556,Sim,Guarda,Almeida,Vilar Formoso
Almeirim,"RÁDIO 100 - Sociedade de Produções Audiovisuais, Lda.",    107.900000,500.000,33.2926313568806,ALTO DA SERRA,FAZENDAS DE ALMEIRIM,RES FM,80F3,N,Local,Não,,39.15,-8.5775,39.15,-8.5775,Não,Santarém,Almeirim,Almeirim
Almeirim,"Rádio Comercial de Almeirim, Lda.",    104.000000,1000.000,39.5918340867651,ALTO DA SERRA,FAZENDAS DE ALMEIRIM,RCA.RIB.,8087.000,N,Local,Não,,39.153611111,-8.578888889,39.153611111,-8.578888889,Não,Santarém,Almeirim,Almeirim
Almodôvar,"Horizontes Planos Informação e Comunicação, Lda",     90.400000,500.000,33.2926313568806,MU,SÃO BARNABÉ,ANT. SUL,80A2,N,Local,Não,,37.370833333,-8.08,37.370833333,-8.080277778,Sim,Beja,Almodôvar,São Barnabé
Almodôvar,"Pajovir - Espectáculos, Marketing e Publicidade, Lda.",    100.400000,50.000,18.721822436302,SERRA DO CALDEIRAO,ALMODOVAR,TOTAL FM,8450.000,S,Local,Sim,,37.370833333,-8.070555556,37.370833333,-8.08,Sim,Beja,Almodôvar,Almodôvar e Graça dos Padrões
Alvaiázere,"Rádio Clube de Alvaiázere, Lda.",     92.300000,1000.000,39.5918340867651,,SERRA DE ALVAIÁZERE,ABC P,806F,N,Local,Não,,39.828888889,-8.410833333,39.828888889,-8.410555556,Sim,Leiria,Alvaiázere,Alvaiázere
Amadora,"R. Cidade, Produções Audiovisuais, Unipessoal, Lda.",    107.200000,1499.996,43.8155377411907,RUA DAS FILIPINAS,SERRA DA MIRA,VODAFONE,800B,N,Local,Não,,38.779722222,-9.241944444,38.779722222,-9.241944444,Não,Lisboa,Amadora,Mina de Água
Amadora,"Rádio Mais, C.R.L.",     93.700000,1499.996,43.8155377411907,AMADORA,SERRA DA MIRA,OBSRVDOR,8010.000,S,Local,Não,,38.782222222,-9.231666667,38.782222222,-9.231666667,Não,Lisboa,Amadora,Mina de Água
Amarante,"Superádio, Unipessoal, Lda.",     89.200000,2000.000,47.0828907919883,ALTO STA CRUZ,LOUREDO,GOLO FM,804B,N,Local,Não,,41.2525,-8.130277778,41.2525,-8.130277778,Não,Porto,Amarante,Louredo
Amarante,"Era-Emissora Regional de Amarante, Lda.",     92.700000,2000.000,47.0828907919883,SANTA CRUZ-SRA DA GRACA,CASTELO NOVO,ERA FM,80A1,N,Local,Não,,41.258333333,-8.133333333,41.248888889,-8.133333333,Sim,Porto,Amarante,Louredo
Amarante,"O.C.I.M. - Organização Cooperativa Informativa Marco, C.R.L.",     93.300000,1000.000,39.5918340867651,ABOGALHEIRA,Folhada,MARCO FM,8015.000,N,Local,Não,,41.194166667,-8.041111111,41.194166667,-8.041111111,Não,Porto,Amarante,Gouveia (São Simão)
Amares,"Rádio Comercial, S.A.",    104.400000,1000.000,39.5918340867651,S. PEDRO FINS,CALDELAS,CIDADE M,8061.000,N,Local,Não,,41.656111111,-8.353055556,41.656111111,-8.353055556,Não,Braga,Amares,Caires
Angra do Heroísmo,"Rádio e Televisão de Portugal, S.A.",     90.500000,100000.000,125.20037245767,TERCEIRA,SANTA BÁRBARA,,,,Nacional,Não,Rede 1 de Cobertura Nacional,38.729722222,-27.318333333,38.729722222,-27.318333333,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,"Rádio e Televisão de Portugal, S.A.",     98.900000,100000.000,125.20037245767,TERCEIRA,SANTA BÁRBARA,,,,Nacional,Não,Rede 2 de Cobertura Nacional,38.729722222,-27.320277778,38.729722222,-27.320277778,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,"Rádio e Televisão de Portugal, S.A.",    103.000000,29999.913,92.658575594362,TERCEIRA,SANTA BÁRBARA,,,,Nacional,Não,Rede 3 de Cobertura Nacional,38.729722222,-27.318333333,38.729722222,-27.318333333,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,"Costa & Osório, Unipessoal, Lda.",    100.500000,500.000,33.2926313568806,ILHA TERCEIRA,SANTA BÁRBARA,CANALFM,8459.000,S,Local,Não,,38.729722222,-27.32,38.729722222,-27.32,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,Rádio Clube de Angra,    101.100000,400.000,31.4862267474058,TERCEIRA,SANTA BÁRBARA,RC ANGRA,8409.000,S,Local,Não,,38.73,-27.319722222,38.73,-27.319722222,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,Rádio Clube de Angra,     89.600000,50.000,18.721822436302,PICO MARTIM SIMÃO - ANGRA DO HEROÍSMO,Altares,RC ANGRA,8409.000,S,Local,Sim,,38.793055556,-27.291111111,38.793055556,-27.291111111,Não,Açores Terceira,Angra do Heroísmo,Altares
Angra do Heroísmo,"Ciclone - Publicações e Difusões, Lda.",    104.400000,1000.000,39.5918340867651,ANGRA DO HEROÍSMO,SERRA DA SANTA BÁRBARA,HORIZONT,8436.000,S,Local,Não,,38.73,-27.320555556,38.73,-27.320555556,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Angra do Heroísmo,"Rádio Ilha, Lda.",    106.600000,1000.000,39.5918340867651,TERCEIRA,SANTA BARBARA,_T_O_P_,8413.000,S,Local,Não,,38.730555556,-27.320833333,38.730555556,-27.320833333,Não,Açores Terceira,Angra do Heroísmo,Santa Bárbara
Ansião,"Rádio Vida Nova, C.R.L.",    105.500000,1000.000,39.5918340867651,QUARTINHO,SERRA DA AMEIXIEIRA,VIDANOVA,80C0,N,Local,Não,,39.893611111,-8.407222222,39.893333333,-8.407777778,Sim,Leiria,Ansião,Chão de Couce
Arcos de Valdevez,"Rádio Comercial, S.A.",     94.200000,399.945,31.4851443525488,ALTO DO FACHO - CABANA MAIOR,SOAJO,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,41.865277778,-8.323888889,41.865277778,-8.323888889,Não,Viana do Castelo,Arcos de Valdevez,Soajo
Arcos de Valdevez,Rádio Valdevez - Associação Cultural de Radiodifusão,     96.400000,1000.000,39.5918340867651,,MONTE COTAO,VALDEVEZ,84A3,S,Local,Não,,41.954166667,-8.4925,41.954166667,-8.4925,Sim,Viana do Castelo,Arcos de Valdevez,Padroso
Arcos de Valdevez,Rádio Valdevez - Associação Cultural de Radiodifusão,    100.800000,50.000,18.721822436302,,SOAJO,VALDEVEZ,84A3,S,Local,Sim,,41.865277778,-8.324166667,41.865277778,-8.323888889,Sim,Viana do Castelo,Arcos de Valdevez,Soajo
Arganil,"Rádio Clube de Arganil - Cooperativa de Rádio, C.R.L.",     97.300000,50.000,18.721822436302,,PIÓDÃO,ARGANIL,840000000.000,S,Local,Sim,,40.261388889,-7.8325,40.250555556,-7.833333333,Sim,Coimbra,Arganil,Pomares
Armamar,"Rádio Clube de Armamar - Produções Radiofónicas, Unipessoal, Lda.",     92.300000,1000.000,39.5918340867651,S. DOMINGOS,FONTELO,RARMAMAR,8081.000,N,Local,Não,,41.121666667,-7.745277778,41.119166667,-7.747222222,Sim,Viseu,Armamar,Fontelo
Arouca,"Rádio Regional de Arouca, Lda.",    103.200000,500.000,33.2926313568806,,SERRA DA FREITA,R-AROUCA,80AD,N,Local,Não,,40.8825,-8.265833333,40.881111111,-8.270277778,Sim,Aveiro,Arouca,Cabreiros e Albergaria da Serra
Arruda dos Vinhos,"Fernando Moura Unipessoal, Lda.",     97.100000,500.000,33.2926313568806,CARVALHA,ARRUDA DOS VINHOS,VIDA FM,80FD,N,Local,Não,,38.972777778,-9.104166667,38.972777778,-9.104166667,Não,Lisboa,Arruda dos Vinhos,Santiago dos Velhos
Aveiro,"Rádio Comercial, S.A.",     92.200000,200.000,26.4766552017592,Travessa Moita,Oliveirinha,COMRCIAL,8203.000,S,Nacional,Não,Cobertura Nacional,40.611944444,-8.602222222,40.611944444,-8.602222222,Sim,Aveiro,Aveiro,Oliveirinha
Aveiro,"Rádio Renascença, Lda.",    102.500000,200.000,26.4766552017592,SÃO BERNARDO,AVEIRO,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,40.623055556,-8.625277778,40.618888889,-8.622777778,Sim,Aveiro,Aveiro,São Bernardo
Aveiro,"Rádio Renascença, Lda.",     97.400000,200.000,26.4766552017592,SÃO BERNARDO,AVEIRO,RFM,8231.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,40.626944444,-8.616666667,40.618888889,-8.622777778,Sim,Aveiro,Aveiro,Santa Joana
Aveiro,"Rádio Regional Aveiro - Empresa de Radiodifusão, Lda.",     96.500000,2000.000,47.0828907919883,QUINTA DE SANTA MOITA,OLIVEIRINHA,RRAVEIRO,8030.000,N,Local,Não,,40.616388889,-8.605555556,40.614444444,-8.606944444,Sim,Aveiro,Aveiro,Oliveirinha
Aveiro,"Moliceiro - Comunicação Social, Unipessoal, Lda.",     94.400000,2000.000,47.0828907919883,TRAVESSA DA MOITA,OLIVEIRINHA,M80AVEIR,8089.000,N,Local,Não,,40.608333333,-8.591666667,40.611944444,-8.602222222,Sim,Aveiro,Aveiro,Oliveirinha
Aveiro,"Rádio Independente de Aveiro, C.R.L.",    105.600000,1000.000,39.5918340867651,AV. DR. LOURENÇO PEIXINHO-173-8º,AVEIRO,E.DIARIA,80A4,N,Local,Não,,40.636388889,-8.650833333,40.643611111,-8.644444444,Sim,Aveiro,Aveiro,Glória e Vera Cruz
Azambuja,"PFM - Radiodifusão, Lda.",     92.200000,1000.000,39.5918340867651,DEP. ÁGUA - VALE DE APÓSTOLOS,Azambuja,K F M,8033.000,N,Local,Não,,39.072777778,-8.895833333,39.072777778,-8.895833333,Sim,Lisboa,Azambuja,Azambuja
Baião,"Rádio e Televisão de Portugal, S.A.",     95.200000,10000.000,70.4053433621716,SENHORA DA SERRA,MARÃO,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,41.248055556,-7.886388889,41.248333333,-7.886111111,Sim,Porto,Baião,Teixeira e Teixeiró
Baião,"Rádio e Televisão de Portugal, S.A.",     99.800000,10000.000,70.4053433621716,SENHORA DA SERRA,MARÃO,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,41.248055556,-7.886388889,41.248333333,-7.886111111,Sim,Porto,Baião,Teixeira e Teixeiró
Baião,"Rádio e Televisão de Portugal, S.A.",    101.500000,10000.000,70.4053433621716,SENHORA DA SERRA,MARÃO,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,41.248055556,-7.886388889,41.248333333,-7.886111111,Sim,Porto,Baião,Teixeira e Teixeiró
Baião,"RÁDIO NOTICIAS - Produções e Publicidade, S.A.",    107.600000,10000.000,70.4053433621716,SENHORA DA SERRA,MARÃO,TSF,8343.000,S,Regional,Não,Cobertura Regional Norte,41.248055556,-7.886666667,41.248333333,-7.885833333,Sim,Porto,Baião,Teixeira e Teixeiró
Barcelos,"Publicelos - Publicidade de Barcelos, Lda.",     91.900000,2000.000,47.0828907919883,MONTE DO FACHO,OLIVEIRA,BARCELOS,80B7,N,Local,Não,,41.578888889,-8.56,41.577777778,-8.560833333,Sim,Braga,Barcelos,Oliveira
Barcelos,"GB-Comunicação, Lda.",    102.400000,500.000,33.2926313568806,SERRA DA OLIVEIRA,FACHO,CAVADOFM,809B,N,Local,Não,,41.577777778,-8.560833333,41.577777778,-8.560833333,Sim,Braga,Barcelos,Oliveira
Batalha,"Rádio e Televisão de Portugal, S.A.",    106.400000,2000.000,47.0828907919883,MAUNÇA,REGUENGO DO FETAL,ANTENA 3,8204.000,S,Nacional,Não,Rede 3 de Cobertura Nacional,39.675,-8.751111111,39.675,-8.751111111,Não,Leiria,Batalha,Reguengo do Fetal
Batalha,"Rádio e Televisão de Portugal, S.A.",     98.700000,2000.000,47.0828907919883,MAUNÇA,REGUENGO DO FETAL,ANTENA 1,8201.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.675,-8.751111111,39.675,-8.751111111,Sim,Leiria,Batalha,Reguengo do Fetal
Batalha,"Rádio e Televisão de Portugal, S.A.",    104.200000,2000.000,47.0828907919883,MAUNÇA,REGUENGO DO FETAL,ANTENA 2,8202.000,S,Nacional,Não,Rede 2 de Cobertura Nacional,39.675,-8.751111111,39.675,-8.751111111,Não,Leiria,Batalha,Reguengo do Fetal
Batalha,"Rádio Renascença, Lda.",     95.100000,2000.000,47.0828907919883,MAUNÇA,REGUENGO DO FETAL,RR,8221.000,S,Nacional,Não,Rede 1 de Cobertura Nacional,39.670277778,-8.756666667,39.670277778,-8.756666667,Não,Leiria,Batalha,Reguengo do Fetal
